account_id,feature_name,times_used,first_used_date,last_used_date
ACC-104673,api_access,146,20-Aug-2023,2024-08-29
ACC-104673,audit_logs,12,2026-03-18,04/28/2026
ACC-104673,webhooks,43,2025-03-27,2026-04-02
ACC-101612,dashboard,21,2025-11-18,2026-02-11
ACC-101612,api_access,47,2026-05-12,05/20/2026
ACC-101612,team_permissions,6,2025-09-19,
ACC-101612,mobile_app,122,2025-06-08,05/07/2025
ACC-101612,audit_logs,73,2025-12-10,2026-05-30
ACC-101612,billing_portal,36,05/04/2025,2025-12-22
ACC-101612,in_app_chat_support,82,2026-05-04,
ACC-101612,bulk_import,10,28-Sep-2025,23-Mar-2026
ACC-101612,custom_branding,87,22-Apr-2026,25/04/2026
ACC-101718,dashboard,8,11-Jun-2024,06/06/2025
ACC-101718,integrations_salesforce,30,2025-08-04,2025-08-14
ACC-101718,team_permissions,89,2024-01-08,2024-05-19
ACC-100561,api_access,16,08/10/2025,
ACC-100561,workflow_automation,25,2025-05-22,2025-08-16
ACC-100561,webhooks,174,2025-08-19,2026-03-20
ACC-100561,billing_portal,28,2025-01-20,2026-01-14
ACC-100561,advanced_analytics,47,2024-04-21,07/10/2024
ACC-100561,bulk_import,29,2024-11-08,2026-03-29
ACC-105359,integrations_slack,9,26/06/2025,17-Mar-2026
ACC-105359,integrations_salesforce,13,2024-09-27,26-Mar-2026
ACC-105359,sso_login,26,02/27/2025,2025-10-28
ACC-105359,mobile_app,28,2025-03-06,2025/06/12
ACC-104534,team_permissions,16,06/08/2025,2025-12-21
ACC-104534,sso_login,52,10/08/2023,2023-10-23
ACC-104534,data_export,20,2024-02-18,05/03/2025
ACC-100263,integrations_salesforce,26,2025-09-09,2025-10-27
ACC-100263,custom_reports,11,29/10/2025,2026/04/11
ACC-100263,team_permissions,46,05-Aug-2025,08/20/2025
ACC-100263,workflow_automation,6,2025-12-27,05-Mar-2026
ACC-100263,data_export,4,2025-08-23,23/11/2025
ACC-100263,audit_logs,17,2025-08-12,2025-09-22
ACC-100263,webhooks,40,2026-04-03,05/30/2026
ACC-100263,billing_portal,211,2025-10-24,28/04/2026
ACC-100263,in_app_chat_support,31,03/17/2026,2026-05-23
ACC-100263,sandbox_environment,45,08/13/2025,2025-10-30
ACC-101044,dashboard,231,07/03/2025,2025-11-08
ACC-101044,integrations_slack,155,2024-08-29,2025-09-20
ACC-101044,integrations_salesforce,11,01/24/2025,2025-02-12
ACC-101044,team_permissions,28,08/14/2025,2025-11-10
ACC-101044,workflow_automation,28,2025-12-10,2026/01/15
ACC-101044,audit_logs,54,06/14/2025,2026-02-16
ACC-101044,billing_portal,203,06/04/2025,14-Jul-2025
ACC-101219,integrations_slack,138,2026-01-11,2026-02-24
ACC-101219,integrations_salesforce,21,16-May-2025,09/10/2025
ACC-101219,custom_reports,74,19-May-2026,21/05/2026
ACC-101219,team_permissions,9,2025-12-26,2026-04-25
ACC-101219,sso_login,7,2026-03-30,2026/04/29
ACC-101219,data_export,64,10/10/2025,05/01/2026
ACC-101219,mobile_app,47,2025-11-06,2025-12-13
ACC-101219,in_app_chat_support,72,22/11/2025,2025-12-01
ACC-101219,custom_branding,12,2026-04-23,2026-05-19
ACC-104606,dashboard,121,2023-03-09,2024-04-20
ACC-104606,integrations_slack,30,2023-05-03,06-Jun-2025
ACC-104606,custom_reports,3,2025-07-19,2026-02-27
ACC-104606,in_app_chat_support,28,04/12/2023,10/23/2024
ACC-104606,advanced_analytics,18,03/12/2022,27-Jan-2026
ACC-101535,dashboard,49,2025-12-02,2026-03-09
ACC-101535,api_access,34,2024-04-01,2025-12-31
ACC-101535,integrations_slack,47,2024-08-13,2025-04-11
ACC-101535,sso_login,49,2026/02/17,2026-05-17
ACC-101535,workflow_automation,26,2023-11-19,2026-02-19
ACC-101535,mobile_app,112,30-Nov-2025,08/02/2026
ACC-101535,audit_logs,17,2023-12-13,2025-09-10
ACC-101535,billing_portal,79,2023-09-18,2023/09/25
ACC-101535,in_app_chat_support,46,07/31/2024,2025-10-14
ACC-101535,advanced_analytics,101,09/26/2023,2025-05-26
ACC-101535,sandbox_environment,13,2025-10-19,2026-03-12
ACC-101876,api_access,9,2026-01-03,2026-02-17
ACC-101876,sso_login,250,04/04/2026,2026-05-20
ACC-101876,workflow_automation,9,02/07/2026,2026-03-24
ACC-101876,audit_logs,97,05/13/2026,2026-05-26
ACC-101876,billing_portal,24,2025-10-17,17-Nov-2025
ACC-101876,custom_branding,48,05/11/2026,05/19/2026
ACC-101737,dashboard,138,05/01/2024,03/21/2026
ACC-101737,api_access,13,2025-09-02,2026-05-05
ACC-101737,integrations_slack,3,2026-01-15,2026-02-07
ACC-101737,integrations_salesforce,42,2024-04-10,23-May-2026
ACC-101737,custom_reports,20,05/08/2025,10-Nov-2025
ACC-101737,data_export,35,2023-04-15,12/26/2024
ACC-101737,mobile_app,25,2022-10-26,2022-12-25
ACC-101737,billing_portal,1,2026/05/30,05/31/2026
ACC-101737,in_app_chat_support,183,11/07/2025,2025-12-21
ACC-101737,sandbox_environment,23,2023-07-05,08-Apr-2025
ACC-102895,custom_reports,25,18/11/2024,04/21/2026
ACC-102895,team_permissions,13,2025-09-25,2025-11-12
ACC-102895,sso_login,14,08/04/2024,2026-02-05
ACC-102895,mobile_app,3,23-Feb-2023,2023-07-29
ACC-102895,webhooks,23,2023-05-01,2025/01/08
ACC-102895,custom_branding,17,07/01/2024,10/25/2025
ACC-102895,sandbox_environment,73,10/25/2024,2025-01-27
ACC-103049,dashboard,47,2024-12-25,2025-03-06
ACC-103049,api_access,48,29-Oct-2025,2025-12-22
ACC-103049,integrations_slack,8,2024-08-27,09/02/2026
ACC-103049,custom_reports,4,2025-01-22,2026-01-12
ACC-103049,team_permissions,55,04/30/2025,2025-05-12
ACC-103049,workflow_automation,21,2025-07-20,09/06/2025
ACC-103049,billing_portal,41,14/09/2024,2025-09-11
ACC-103049,in_app_chat_support,5,11/14/2024,2026-01-04
ACC-103049,advanced_analytics,38,2025-05-10,09/05/2026
ACC-103049,bulk_import,85,2024-08-08,2025-12-20
ACC-103049,custom_branding,52,2026-03-13,20-May-2026
ACC-103049,sandbox_environment,30,2024-12-09,2025-12-12
ACC-103907,api_access,31,2025-08-06,08/20/2025
ACC-103907,team_permissions,34,06/11/2024,2025-09-15
ACC-103907,sso_login,12,2024-05-13,2024-06-24
ACC-103907,workflow_automation,94,2026-01-24,24-May-2026
ACC-103907,audit_logs,94,30/09/2025,2025-12-08
ACC-103907,billing_portal,249,2025-01-15,02-Aug-2025
ACC-103907,bulk_import,16,2024-03-22,29-Apr-2024
ACC-103907,custom_branding,53,2025-08-19,2025-12-02
ACC-102845,dashboard,4,22/03/2024,2025-11-21
ACC-102845,api_access,13,2023-11-24,2025-05-02
ACC-102845,integrations_slack,2,02/11/2023,19/09/2024
ACC-102845,team_permissions,55,11/30/2022,2023-05-03
ACC-102845,audit_logs,3,07/17/2024,2025-05-22
ACC-102845,webhooks,10,2024-06-04,10/08/2024
ACC-102845,billing_portal,39,03-Jun-2024,2025-08-11
ACC-102845,advanced_analytics,14,2025-12-05,2025-12-09
ACC-102845,custom_branding,57,2024-02-12,2024-04-30
ACC-102845,sandbox_environment,17,2024-08-15,10/18/2024
ACC-104322,dashboard,50,08/23/2025,30-Oct-2025
ACC-104322,integrations_salesforce,73,22/09/2025,2025-11-18
ACC-104322,custom_reports,18,2025-09-27,2025-10-21
ACC-104322,team_permissions,28,2025-08-23,2025-11-10
ACC-104322,bulk_import,94,2025/08/20,2025-11-05
ACC-104322,custom_branding,16,09/26/2025,2025-11-13
ACC-100308,api_access,1,13-Jan-2025,2025-06-21
ACC-100308,integrations_slack,10,24/02/2025,2025-03-17
ACC-100308,integrations_salesforce,29,2024-10-14,
ACC-100308,custom_reports,42,2024-01-27,2025-07-15
ACC-100308,team_permissions,16,2025-08-16,01-Mar-2026
ACC-100308,workflow_automation,12,09/16/2024,11-Mar-2025
ACC-100308,data_export,113,2024-12-19,2025-11-07
ACC-100308,mobile_app,98,07/09/2024,01/10/2026
ACC-100308,webhooks,51,2025-02-28,2025-07-17
ACC-100308,bulk_import,8,11/11/2023,2025/04/07
ACC-102781,dashboard,18,08/14/2025,08/02/2026
ACC-102781,api_access,15,2026-05-08,2026-05-12
ACC-102781,integrations_slack,26,2025-08-16,2025-11-17
ACC-102781,integrations_salesforce,26,2024-06-15,01/23/2025
ACC-102781,custom_reports,18,22/10/2025,23-Apr-2026
ACC-102781,sso_login,19,2025-07-26,2025/09/30
ACC-102781,data_export,251,05/19/2024,18/07/2025
ACC-102781,mobile_app,7,18/09/2025,03-Oct-2025
ACC-102781,in_app_chat_support,132,2024/07/09,2024-10-30
ACC-102781,advanced_analytics,24,2025-07-22,02/04/2026
ACC-104593,dashboard,170,2024-03-12,2024-03-16
ACC-104593,integrations_slack,39,14/03/2024,15/03/2024
ACC-104593,integrations_salesforce,61,2024-03-14,2024-03-16
ACC-104267,dashboard,2,09/07/2023,08/04/2023
ACC-104267,api_access,37,2024/06/29,2024-08-10
ACC-104267,mobile_app,21,10/20/2023,
ACC-104267,webhooks,25,2024-05-09,2024-05-24
ACC-104267,custom_branding,44,22-Feb-2023,23-Jun-2024
ACC-105646,dashboard,32,2022-08-19,2024-03-23
ACC-105646,integrations_slack,39,15/07/2023,04-May-2024
ACC-105646,integrations_salesforce,27,30/08/2025,11/01/2025
ACC-105646,billing_portal,15,2025-10-07,2025-10-18
ACC-105646,advanced_analytics,31,2022-03-02,01/08/2024
ACC-105646,bulk_import,11,2024-03-02,15-Mar-2026
ACC-101451,dashboard,10,08/23/2023,08/12/2025
ACC-101451,api_access,43,12/11/2024,2025-06-04
ACC-101451,integrations_salesforce,1,18/02/2026,2026-03-25
ACC-101451,custom_reports,44,2023-09-19,
ACC-101451,team_permissions,26,04/27/2023,2024-12-12
ACC-101451,workflow_automation,27,2023-11-11,2024-03-12
ACC-101451,webhooks,20,2025-04-18,2025-06-30
ACC-101451,advanced_analytics,38,25-May-2026,2026-05-26
ACC-104867,advanced_analytics,9,15/11/2023,2024-05-03
ACC-104366,integrations_slack,65,05/15/2026,22/05/2026
ACC-104366,integrations_salesforce,8,2026-05-25,2026-06-01
ACC-104366,team_permissions,2,2026-01-22,2026-04-07
ACC-104366,workflow_automation,18,25/10/2024,2024-11-01
ACC-104366,data_export,54,2025-07-20,2025-09-08
ACC-104366,mobile_app,37,2024-09-25,2025-06-09
ACC-104366,in_app_chat_support,41,2024-08-23,22-Jan-2026
ACC-104366,advanced_analytics,36,05/11/2024,2024-06-26
ACC-101383,api_access,38,2023-11-09,2025-11-09
ACC-101383,sso_login,19,28/10/2023,2023-10-31
ACC-101383,workflow_automation,91,2025-10-03,04/04/2026
ACC-101383,mobile_app,15,08/29/2025,02/06/2026
ACC-101383,audit_logs,51,2023-03-15,06/26/2024
ACC-101383,billing_portal,19,08-Sep-2025,2025-11-05
ACC-101383,advanced_analytics,21,26/10/2022,28-Sep-2024
ACC-101383,custom_branding,74,2026-01-13,
ACC-103941,api_access,29,2026-01-26,2026-05-13
ACC-103941,integrations_salesforce,12,05-Dec-2023,03/13/2025
ACC-103941,sso_login,1,2025-01-23,2026-05-15
ACC-103941,advanced_analytics,16,05/18/2023,20-Sep-2025
ACC-103941,sandbox_environment,2,2022-10-14,12/08/2022
ACC-104356,api_access,36,07/24/2025,18-Sep-2025
ACC-104356,integrations_salesforce,55,2025/07/22,
ACC-104356,sso_login,57,2025-05-18,2025-07-17
ACC-104356,workflow_automation,30,2025-09-26,2025-10-10
ACC-104356,mobile_app,7,2025-09-25,2025-10-23
ACC-104356,in_app_chat_support,153,2025-06-28,29-Jul-2025
ACC-104356,advanced_analytics,86,2025-03-12,09/08/2025
ACC-104447,integrations_salesforce,29,2023-09-15,2023-12-06
ACC-104447,workflow_automation,15,30-Mar-2023,2023-11-25
ACC-101747,dashboard,34,2024-04-17,07/14/2024
ACC-101747,integrations_slack,72,2025/11/22,2025-11-23
ACC-101747,integrations_salesforce,216,2025-07-14,2026/02/19
ACC-101747,custom_reports,32,2025-11-16,12/07/2025
ACC-101747,team_permissions,31,2025-11-23,2026-04-20
ACC-101747,data_export,5,01/21/2025,2025-05-06
ACC-101747,sandbox_environment,29,11/13/2025,2026/02/27
ACC-104650,api_access,35,09/24/2022,2024-06-17
ACC-104650,integrations_slack,9,2023-07-01,2025-04-29
ACC-104650,workflow_automation,129,29-May-2024,
ACC-104650,mobile_app,6,2024/10/27,10/24/2025
ACC-104650,audit_logs,37,2024-09-30,2026-04-07
ACC-104650,webhooks,8,10/20/2025,2026-02-14
ACC-102441,dashboard,29,2024/02/28,04/11/2025
ACC-102441,team_permissions,175,12/18/2024,2025-05-09
ACC-102441,workflow_automation,29,2024-08-19,2026-05-21
ACC-102441,audit_logs,18,2026-01-22,24-Jan-2026
ACC-102441,webhooks,66,09/22/2024,03/22/2026
ACC-102441,billing_portal,54,17-Jul-2025,10/09/2025
ACC-102441,in_app_chat_support,153,2024-06-21,01/10/2026
ACC-102441,bulk_import,33,04/23/2024,2024-11-27
ACC-102441,custom_branding,25,01/17/2026,2026-04-15
ACC-103624,sso_login,354,08/25/2025,2025-09-17
ACC-103624,in_app_chat_support,82,04/06/2023,08/04/2024
ACC-103624,bulk_import,11,2023-11-23,05/12/2026
ACC-103624,custom_branding,39,2024-01-06,2024-03-25
ACC-103711,api_access,25,06/01/2025,2025-04-02
ACC-103711,integrations_slack,17,2025/06/12,2026-05-18
ACC-103711,sso_login,13,2026-03-02,04/02/2026
ACC-103711,workflow_automation,274,2025-04-10,2025-11-07
ACC-103711,mobile_app,18,2025-10-12,2026-02-26
ACC-103711,audit_logs,21,27-Dec-2025,2026-03-30
ACC-103711,webhooks,9,2024-07-18,27-Jun-2025
ACC-103711,in_app_chat_support,26,11/20/2023,2024-04-15
ACC-103711,advanced_analytics,58,2023/10/07,2024/10/19
ACC-103711,custom_branding,44,2024-08-13,2025-11-09
ACC-105278,dashboard,150,2025-04-11,
ACC-105278,integrations_salesforce,24,08/21/2022,02/23/2025
ACC-105278,team_permissions,20,09/03/2023,2024-09-18
ACC-105278,sso_login,95,05/19/2025,2026-05-09
ACC-105278,bulk_import,15,23/05/2022,23/06/2022
ACC-103982,dashboard,11,2024-04-03,2025-02-17
ACC-103982,integrations_salesforce,138,16-Feb-2024,07/02/2025
ACC-103982,custom_reports,25,07/28/2025,10/21/2025
ACC-103982,audit_logs,53,2025-02-06,
ACC-101088,sso_login,3,2025-02-12,2025-03-12
ACC-101088,mobile_app,68,2024-08-23,2025-04-12
ACC-101088,audit_logs,11,21/01/2024,2024-05-03
ACC-102934,workflow_automation,6,07-Jan-2026,21/02/2026
ACC-102934,billing_portal,156,11-Jan-2026,05/20/2026
ACC-102934,advanced_analytics,11,2025-11-04,2026-02-11
ACC-102934,bulk_import,128,2026-01-08,2026-04-08
ACC-102934,custom_branding,131,07-Sep-2025,2026-05-01
ACC-102934,sandbox_environment,17,2025-03-02,02-Nov-2025
ACC-105974,integrations_slack,17,2024-12-06,13/02/2025
ACC-105974,integrations_salesforce,55,2025/08/10,2025-09-17
ACC-105974,data_export,75,09/23/2025,2025-09-29
ACC-105974,mobile_app,7,2025-03-20,17-Jun-2025
ACC-105974,webhooks,4,2025-08-18,2025-09-05
ACC-105974,in_app_chat_support,10,2025-09-25,2025-10-01
ACC-105974,sandbox_environment,30,2025-09-01,2025-09-14
ACC-100534,integrations_salesforce,12,2026-02-14,2026-03-12
ACC-100534,audit_logs,67,23-Sep-2025,2025-10-08
ACC-100534,billing_portal,9,2026-01-17,2026-03-08
ACC-100534,in_app_chat_support,18,01/30/2026,2026-04-30
ACC-105441,sso_login,73,2024/06/07,06/09/2024
ACC-105441,data_export,31,2024-05-21,2024-06-03
ACC-105441,audit_logs,166,2024/06/02,15/06/2024
ACC-105441,advanced_analytics,21,2024/05/18,2024-06-07
ACC-101832,dashboard,66,08/19/2022,2025-10-04
ACC-101832,integrations_slack,52,2025-10-30,2026-01-31
ACC-101832,integrations_salesforce,27,2025-05-21,2026-05-25
ACC-101832,custom_reports,120,06/18/2023,09/04/2025
ACC-101832,team_permissions,3,2023-04-07,01-Aug-2025
ACC-101832,sso_login,66,12/09/2025,24-Apr-2026
ACC-101832,workflow_automation,3,08/18/2022,2026-03-23
ACC-101832,data_export,69,2024-11-29,2025-06-05
ACC-101832,webhooks,155,2024-07-03,2026-01-05
ACC-101832,billing_portal,4,2026-05-01,05/20/2026
ACC-101832,in_app_chat_support,18,2022-10-27,01/09/2024
ACC-101832,advanced_analytics,75,2025-01-25,08/18/2025
ACC-101832,bulk_import,21,2025-11-09,05/24/2026
ACC-101832,sandbox_environment,11,2023/04/13,06/25/2023
ACC-102603,api_access,16,2026-02-18,17-Mar-2026
ACC-102603,custom_reports,12,2024/12/25,14/06/2025
ACC-102603,sso_login,36,2026-02-22,2026-04-12
ACC-102603,audit_logs,75,2025-01-12,07/31/2025
ACC-102603,billing_portal,25,2025-12-22,2026-01-24
ACC-102603,advanced_analytics,16,02/08/2026,25/04/2026
ACC-102603,custom_branding,100,2025-09-14,16-May-2026
ACC-102603,sandbox_environment,101,22/02/2025,2025-05-30
ACC-104518,integrations_salesforce,44,2025-03-08,07/30/2025
ACC-104518,custom_reports,133,2024-08-20,2024-12-06
ACC-104518,sso_login,18,06/19/2025,2026-04-12
ACC-104518,data_export,26,2026-06-01,06/02/2026
ACC-104518,billing_portal,23,2026-05-12,2026-05-18
ACC-104518,advanced_analytics,8,02/15/2025,2025/03/12
ACC-104518,sandbox_environment,39,2025-03-06,01/28/2026
ACC-105995,custom_reports,24,2023-10-19,02/28/2025
ACC-105995,sso_login,24,2026-03-19,2026-05-24
ACC-105995,data_export,64,2023-09-20,2024-01-06
ACC-105995,webhooks,15,2024-05-06,2025-09-22
ACC-105995,advanced_analytics,92,2022-11-25,2024-02-05
ACC-100879,integrations_slack,49,2024-12-14,06/04/2025
ACC-100879,integrations_salesforce,59,10/06/2025,2025-11-18
ACC-100879,custom_reports,16,2026-03-18,03/24/2026
ACC-100879,sso_login,35,2026-04-20,2026-05-18
ACC-100879,workflow_automation,23,2025-01-10,05/02/2025
ACC-100879,mobile_app,16,03-Jul-2024,2024-10-27
ACC-100879,advanced_analytics,30,2024-11-26,
ACC-105890,dashboard,69,2023-03-04,2023-12-04
ACC-105890,integrations_salesforce,7,2023/03/07,23/03/2023
ACC-105890,custom_reports,42,2022-12-23,30/01/2023
ACC-105890,data_export,65,2023-03-08,14/11/2024
ACC-105890,mobile_app,53,2023-12-13,03/01/2024
ACC-105890,webhooks,20,2024-08-04,2024-12-18
ACC-105890,advanced_analytics,38,11/06/2023,2024-05-02
ACC-105890,bulk_import,32,2023-11-18,2024-07-26
ACC-103289,api_access,66,2022-05-06,2022-12-01
ACC-103289,audit_logs,34,2022-03-27,2022-06-19
ACC-103289,webhooks,14,08/04/2022,30/10/2023
ACC-103289,bulk_import,27,2023-11-23,11-Jan-2024
ACC-103289,sandbox_environment,107,30/05/2022,2022-09-02
ACC-102002,api_access,60,2023-08-21,
ACC-102002,sso_login,55,01/07/2023,25-Aug-2023
