account_id,company_name,industry,country,company_size_employees,plan_tier,acquisition_channel,sales_rep_id,signup_date,churn_date,is_trial_converted
ACC-104673,Edwards-Taylor,Real Estate,Japan,4.0,Starter,Paid Ads,,2023-05-22,,False
ACC-101612,"RIOS, CARRILLO AND JACKSON",Logistics,US,19.0,Pro,Content/SEO,,26-Apr-2025,,False
ACC-101718,"Gomez, Anderson and Hart",Real Estate,united states,6.0,Starter,Organic Search,,29-Jul-2023,,False
ACC-100561,Wright-Davis,Media,Australia,,Starter,Referral,,,,True
ACC-105359,Wu LLC,Real Estate,Netherlands,,Starter,Sales-Led,REP-037,2024-09-01,06/01/2026,True
ACC-104534,"Young, Kane and Riley",E-commerce,Canada,999999.0,Starter,Referral,,05/15/2023,,True
ACC-100263,"Lloyd, Mckinney and Collins",Consulting,Singapore,992.0,Enterprise,Sales-Led,REP-039,06/24/2025,,False
ACC-101044,Rivera and Sons,Manufacturing,United States,13.0,Starter,Partner,,2024-07-06,03/06/2026,True
ACC-101219,Castro-Harvey,Logistics,Canada,10.0,pro,Partner,,2025-04-21,,True
ACC-104606,Walker Ltd,Manufacturing,US,11.0,Starter,Sales-Led,REP-030,05/19/2022,,False
ACC-101535,Barker-Moore,Media,Japan,70.0,Business,Paid Ads,,2022-11-20,2026-05-20,True
ACC-101876,"Pratt, Lopez and Rodriguez",e-commerce,Australia,,Starter,,,26-Jul-2025,,True
ACC-101737,Morgan Group,Manufacturing,united kingdom,215.0,Business,Referral,,2022-03-23,,True
ACC-102895,Johnson-Munoz,Logistics,United Kingdom,628.0,Business,Sales-Led,REP-017,2023/02/17,,True
ACC-103049,HUNT GROUP,Consulting,United States,281.0,Business,Referral,,2024-05-14,,True
ACC-103907,Gonzales Ltd,Manufacturing,Brazil,762.0,Business,Partner,,02/16/2024,,False
ACC-102845,Merritt-Clark,Manufacturing,United states ,89.0,Business,Organic Search,,11-Mar-2022,11-Dec-2025,True
ACC-104322,Trujillo-Thomas,Consulting,United States,72.0,Pro,Sales-Led,REP-030,30/07/2025,2025-11-30,True
