ticket_id,account_id,created_date,category,priority,resolution_time_hours,satisfaction_score
TCK-0000001,ACC-104673,2025/03/03,Other,Medium,17.5,4.0
TCK-0000002,ACC-104673,05/26/2023,Bug Report,Low,,5.0
TCK-0000003,ACC-104673,2026-04-14,Performance,High,24.1,4.0
TCK-0000004,ACC-104673,21-Nov-2025,Integration Help,Medium,2.8,4.0
TCK-0000005,ACC-101612,11/29/2025,Integration Help,Medium,1.7,3.0
TCK-0000006,ACC-101612,2025-05-15,Integration Help,High,3.5,5.0
TCK-0000007,ACC-101612,08/14/2025,Bug Report,Urgent,0.5,5.0
TCK-0000008,ACC-101718,2023-10-21,Bug Report,Urgent,28.8,4.0
TCK-0000009,ACC-100561,2024-05-23,Bug Report,Urgent,7.5,5.0
TCK-0000010,ACC-100561,06-Jun-2024,Bug Report,High,1.6,2.0
TCK-0000011,ACC-100561,14/09/2025,Billing,Low,13.4,5.0
TCK-0000012,ACC-100561,2025-10-02,Billing,High,11.0,5.0
TCK-0000013,ACC-100561,07/15/2025,Performance,High,19.2,4.0
TCK-0000014,ACC-100561,06/27/2024,Onboarding,Low,11.0,3.0
TCK-0000015,ACC-105359,2025-02-06,Account Access,Low,3.8,4.0
TCK-0000016,ACC-105359,2025-03-16,Onboarding,Medium,3.6,
TCK-0000017,ACC-105359,18-Jan-2026,Bug Report,Medium,11.5,5.0
TCK-0000018,ACC-105359,23-Oct-2024,Billing,Low,16.9,4.0
TCK-0000019,ACC-105359,2024-12-13,Account Access,Low,0.3,
TCK-0000020,ACC-104534,2024-12-04,Account Access,Medium,29.0,
TCK-0000021,ACC-104534,2024-04-08,Integration Help,Medium,9.7,5.0
TCK-0000022,ACC-104534,2026-04-07,Billing,Low,21.2,3.0
TCK-0000023,ACC-104534,2024-10-16,Onboarding,Low,17.6,5.0
TCK-0000024,ACC-104534,02-Jul-2024,Integration Help,High,7.3,5.0
TCK-0000025,ACC-100263,2026-05-26,Account Access,Medium,15.3,5.0
TCK-0000026,ACC-100263,03/23/2026,Account Access,Urgent,1.1,
TCK-0000027,ACC-100263,03/30/2026,Account Access,Medium,27.2,
TCK-0000028,ACC-100263,2025-11-29,Onboarding,Medium,,5.0
TCK-0000029,ACC-100263,01/04/2026,Integration Help,High,35.0,4.0
TCK-0000030,ACC-100263,09-Apr-2026,Performance,High,3.7,5.0
TCK-0000031,ACC-100263,2025/09/15,Integration Help,Urgent,1.1,5.0
TCK-0000032,ACC-100263,09/14/2025,Integration Help,Low,2.9,5.0
TCK-0000033,ACC-101044,22-Sep-2025,Bug Report,High,8.9,5.0
TCK-0000034,ACC-101044,2025-03-26,Integration Help,Low,8.4,3.0
TCK-0000035,ACC-101044,09-Feb-2026,Feature Request,Low,27.3,5.0
TCK-0000036,ACC-101044,11/20/2024,Bug Report,Medium,7.1,3.0
TCK-0000037,ACC-101044,11/19/2024,Billing,Medium,14.1,
TCK-0000038,ACC-101044,2025-06-26,Other,Low,14.4,3.0
TCK-0000039,ACC-101219,2025-05-10,Feature Request,Medium,1.0,4.0
