subscription_id,account_id,plan_tier,seats,mrr,currency,discount_pct,billing_cycle,payment_method,start_date,end_date
SUB-000001,ACC-104673,Starter,2,65,USD,0,Annual,ACH,2023-05-22,2024-01-31
SUB-000002,ACC-104673,Pro,4,262.28,USD,0,Monthly,Credit Card,01/31/2024,04/11/2025
SUB-000003,ACC-104673,Enterprise,1,"$ 1,864",USD,0,Annual,Invoice,04/11/2025,
SUB-000004,ACC-101612,Pro,5,310.95,USD,0,Annual,credit card,26/04/2025,
SUB-000005,ACC-101718,Starter,1,46.33,USD,0,Monthly,Credit Card,07/29/2023,2023-10-06
SUB-000006,ACC-101718,Pro,4,$ 303,USD,0,Monthly,ACH,06/10/2023,
SUB-000007,ACC-100561,Starter,7,96,USD,0,Monthly,Invoice,2023-11-25,2025/12/02
SUB-000008,ACC-100561,Pro,7,377,USD,0,Monthly,Credit Card,2025/12/02,
SUB-000009,ACC-105359,Starter,1,50.22,USD,0,Monthly,Invoice,2024-09-01,2026-06-01
SUB-000010,ACC-104534,Starter,1,$49.81,USD,0,Annual,ACH,2023-05-15,2025-02-02
SUB-000011,ACC-104534,Pro,1,200,USD,0,Monthly,Invoice,02/02/2025,
SUB-000012,ACC-100263,Enterprise,6,"2,748.86",USD,20,Annual,ACH,2025/06/24,2026-02-05
SUB-000013,ACC-100263,Business,2,$757.29,USD,0,Monthly,ACH,2026-02-05,
SUB-000014,ACC-101044,Starter,1,$46.24,USD,0,Annual,Credit Card,2024-07-06,2026-02-03
SUB-000015,ACC-101044,Enterprise,3,2151,USD,15,Annual,Credit Card,02/03/2026,03/06/2026
SUB-000016,ACC-101219,Pro,1,203,EUR,0,Annual,Credit Card,21-Apr-2025,
SUB-000017,ACC-104606,Starter,1,$48.98,USD,0,Monthly,Invoice,05/19/2022,
SUB-000018,ACC-101535,Business,2,711,USD,0,Annual,credit card,20/11/2022,20-May-2026
SUB-000019,ACC-101876,Starter,1,45.22,GBP,0,Monthly,Credit Card,2025-07-26,18/01/2026
SUB-000020,ACC-101876,Enterprise,1,1673,GBP,20,Monthly,Invoice,2026-01-18,
SUB-000021,ACC-101737,Business,1,594.29,USD,0,Monthly,ACH,2022-03-23,
SUB-000022,ACC-102895,Business,2,693.35,USD,0,Annual,Invoice,2023-02-17,
SUB-000023,ACC-103049,Business,1,591.64,USD,0,Monthly,Credit Card,14/05/2024,
SUB-000024,ACC-103907,Business,5,863.51,USD,0,Annual,Credit Card,16/02/2024,
SUB-000025,ACC-102845,Business,2,$693.34,USD,0,Monthly,credit card,2022-03-11,2025-12-11
SUB-000026,ACC-104322,Pro,4,$ 272,USD,0,Monthly,Credit Card,2025-07-30,2025-10-22
SUB-000027,ACC-104322,Enterprise,2,"$ 1,806",USD,25,Monthly,Credit Card,2025-10-22,30/11/2025
SUB-000028,ACC-100308,Business,4,978.21,USD,0,Annual,Invoice,2022-03-26,26-May-2025
SUB-000029,ACC-100308,Starter,1,51,USD,0,Monthly,Credit Card,2025-05-26,
SUB-000030,ACC-102781,Enterprise,11,"$ 5,359",USD,0,Monthly,Invoice,01/26/2024,
SUB-000031,ACC-104593,Starter,9,$109.11,USD,10,Monthly,Credit Card,2024-02-17,2024-03-17
SUB-000032,ACC-104267,Pro,4,316,USD,0,Monthly,Credit Card,2022/04/18,12/18/2024
